# Twilight Country Tags
IRE = "countries/Ireland.txt"
NSE = "countries/NorthSeaEmpire.txt"
KRU = "countries/KievanRus.txt"
BOL = "countries/VolgaBulgaria.txt"
GMK = "countries/KingdomOfGermany.txt"
AQI = "countries/Aquitaine.txt"
ARS = "countries/Arles.txt"
AWM = "countries/Awarenmark.txt"
SEL = "countries/Seljuks.txt"
FAT = "countries/Fatimids.txt" # Haha it's Peratus so funny xD
FRE = "countries/Friesland.txt"
LOM = "countries/Lombardy.txt"
SAN = "countries/Salerno.txt"
PRT = "countries/Pruthenia.txt"
PML = "countries/Pomeralia.txt"
UQA = "countries/Uqaylids.txt"
BUY = "countries/Buyids.txt"
CRD = "countries/Cordoba.txt"
UMY = "countries/Umayyad Caliphate.txt"
BDJ = "countries/Badajoz.txt"
ZAR = "countries/Zaragoza.txt"
TOL = "countries/Toledo.txt"
HMD = "countries/Hamdanids.txt"
BVD = "countries/Bavandids.txt"
HRT = "countries/Herat.txt"
AXE = "countries/Auxerre.txt"
ALM = "countries/Almoravids.txt"
DNL = "countries/Danelaw.txt"
KOD = "countries/Dublin.txt"
WSX = "countries/Wessex.txt"
OBO = "countries/Obotrites.txt"
MGY = "countries/Magyars.txt"
SJA = "countries/Sjaelland.txt"
SKL = "countries/Skaneland.txt"
NRJ = "countries/Nordjylland.txt"
NRL = "countries/Norrland.txt"
SVE = "countries/Svealand.txt"
GTL = "countries/Gotaland.txt"
VLA = "countries/Vladimir.txt"
CUM = "countries/Cumania.txt" # Epic Cummers
CAP = "countries/Cappadocia.txt"
VIN = "countries/Vinland.txt"
LST = "countries/Listowel.txt"
BYL = "countries/Boyle.txt"
IBE = "countries/Iberia.txt"
SUD = "countries/Sudmarsch.txt"

